======================================================================
GestureBridge — Dataset Curation Report
  contract                       usable=  3  REASON: TOO FEW SAMPLES — only 3 usable video(s), minimum required is 5
  culture                        usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  deadline                       usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  deliver                        usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  depart                         usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  diagnosis                      usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  difficult                      usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  digital                        usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  disaster                       usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  discount                       usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  each                           usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  eleven                         usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  even                           usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  fall                           usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  february                       usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  fever                          usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  fifteen                        usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  fire                           usable=  3  REASON: TOO FEW SAMPLES — only 3 usable video(s), minimum required is 5
  fourteen                       usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  free                           usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  gloves                         usable=  2  REASON: TOO FEW SAMPLES — only 2 usable video(s), minimum required is 5
  go to bed                      usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  gold                           usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  he                             usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  healthy                        usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  himself                        usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  hire                           usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  his                            usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  holiday                        usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  horse                          usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  hotel                          usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  hundred                        usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  i                              usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  injury                         usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  interpret                      usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  into                           usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  it                             usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  job                            usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  july                           usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  just                           usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  lamp                           usable=  2  REASON: TOO FEW SAMPLES — only 2 usable video(s), minimum required is 5
  let                            usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  life                           usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  look                           usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  market                         usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  may                            usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  me                             usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  medal                          usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  million                        usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  notebook                       usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  of                             usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  or                             usable=  3  REASON: TOO FEW SAMPLES — only 3 usable video(s), minimum required is 5
  our                            usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  park                           usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  parking                        usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  pharmacy                       usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  profit                         usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  receipt                        usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  report                         usable=  3  REASON: TOO FEW SAMPLES — only 3 usable video(s), minimum required is 5
  road                           usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  scarf                          usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  scholarship                    usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  screen                         usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  seventeen                      usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  several                        usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  shark                          usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  so                             usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  social media                   usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  spend                          usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  sport                          usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  start                          usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  station                        usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  storm                          usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  surprised                      usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  swim                           usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  taxi                           usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  than                           usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  that                           usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  these                          usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  thirteen                       usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  this                           usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  those                          usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  thunder                        usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  twelve                         usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  twenty                         usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  video                          usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  yet                            usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json

======================================================================
